time,down,right,up,left
14:15:42.4,False,False,False,False
14:15:42.5,False,False,False,False
14:15:42.6,False,False,False,False
14:15:42.7,False,False,False,False
14:15:42.8,False,False,False,False
14:15:42.9,False,False,False,False
14:15:43.0,False,False,False,False
14:15:43.1,False,False,False,False
14:15:43.2,False,False,False,False
14:15:43.3,False,False,False,False
14:15:43.4,False,False,False,False
14:15:43.5,False,False,False,False
14:15:43.6,False,False,False,False
14:15:43.7,False,False,False,False
14:15:43.8,False,False,False,False
14:15:43.9,False,False,False,False
14:15:44.0,False,False,False,False
14:15:44.1,False,False,False,False
14:15:44.2,False,False,False,False
14:15:44.3,False,False,False,False
14:15:44.4,False,False,False,False
14:15:44.5,False,False,False,False
14:15:44.6,False,False,False,False
14:15:44.7,False,False,False,False
14:15:44.8,False,False,False,False
14:15:44.9,False,False,False,False
14:15:45.0,False,False,False,False
14:15:45.1,False,False,False,False
14:15:45.2,False,False,False,False
14:15:45.3,False,False,False,False
14:15:45.4,False,False,False,False
14:15:45.5,False,False,False,False
14:15:45.6,False,False,False,False
14:15:45.7,False,False,False,False
14:15:45.8,False,False,False,False
14:15:45.9,False,False,False,False
14:15:46.0,False,False,False,False
14:15:46.1,False,False,False,False
14:15:46.2,False,False,False,False
14:15:46.3,False,False,False,False
14:15:46.4,False,False,False,False
14:15:46.5,False,False,False,False
14:15:46.6,False,False,False,False
14:15:46.8,False,False,False,False
14:15:46.9,False,False,False,False
14:15:47.0,False,False,False,False
14:15:47.1,False,False,False,False
14:15:47.2,False,False,False,False
14:15:47.3,False,False,False,False
14:15:47.4,False,False,False,False
14:15:47.5,False,False,False,False
14:15:47.6,False,False,False,False
14:15:47.7,False,False,False,False
14:15:47.8,False,False,False,False
14:15:47.9,False,False,False,False
14:15:48.0,False,False,False,False
14:15:48.1,False,False,False,False
14:15:48.2,False,False,False,False
14:15:48.3,False,False,False,False
14:15:48.4,False,False,False,False
14:15:48.5,False,False,False,False
14:15:48.6,False,False,False,False
14:15:48.7,False,False,False,False
14:15:48.8,False,False,False,False
14:15:48.9,False,False,False,False
14:15:49.0,False,False,False,False
14:15:49.1,False,False,False,False
14:15:49.2,False,False,False,False
14:15:49.3,False,False,False,False
14:15:49.4,False,False,False,False
14:15:49.5,False,False,False,False
14:15:49.6,False,False,False,False
14:15:49.7,False,False,False,False
14:15:49.8,False,False,False,False
14:15:49.9,False,False,False,False
14:15:50.0,False,False,False,False
14:15:50.1,False,False,False,False
14:15:50.2,False,False,False,False
14:15:50.3,False,False,False,False
14:15:50.4,False,False,False,False
14:15:50.5,False,False,False,False
14:15:50.6,False,False,False,False
14:15:50.7,False,False,False,False
14:15:50.8,False,False,False,False
14:15:50.9,False,False,False,False
14:15:51.0,False,False,False,False
14:15:51.1,False,False,False,False
14:15:51.2,False,False,False,False
14:15:51.3,False,False,False,False
14:15:51.4,False,False,False,False
14:15:51.5,False,False,False,False
14:15:51.6,False,False,False,False
14:15:51.7,False,False,False,False
14:15:51.8,False,False,False,False
14:15:51.9,False,False,False,False
14:15:52.0,False,False,False,False
14:15:52.1,False,False,False,False
14:15:52.3,False,False,False,False
14:15:52.4,False,False,False,False
14:15:52.5,False,False,False,False
14:15:52.6,False,False,False,False
14:15:52.7,False,False,False,False
14:15:52.8,False,False,False,False
14:15:52.9,False,False,False,False
14:15:53.0,False,False,False,False
14:15:53.1,False,False,False,False
14:15:53.2,False,False,False,False
14:15:53.3,False,False,False,False
14:15:53.4,False,False,False,False
14:15:53.5,False,False,False,False
14:15:53.6,False,False,False,False
14:15:53.7,False,False,False,False
14:15:53.8,False,False,False,False
14:15:53.9,False,False,False,False
14:15:54.0,False,False,False,False
14:15:54.1,False,False,False,False
14:15:54.2,False,False,False,False
14:15:54.3,False,False,False,False
14:15:54.4,False,False,False,False
14:15:54.5,False,False,False,False
14:15:54.6,False,False,False,False
14:15:54.7,False,False,False,False
14:15:54.8,False,False,False,False
14:15:54.9,False,False,False,False
14:15:55.0,False,False,False,False
14:15:55.1,False,False,False,False
14:15:55.2,False,False,False,False
14:15:55.3,False,False,False,False
14:15:55.4,False,False,False,False
14:15:55.5,False,False,False,False
14:15:55.6,False,False,False,False
14:15:55.7,False,False,False,False
14:15:55.8,False,False,False,False
14:15:55.9,False,False,False,False
14:15:56.0,False,False,False,False
14:15:56.1,False,False,False,False
14:15:56.2,False,False,False,False
14:15:56.3,False,False,False,False
14:15:56.4,False,False,False,False
14:15:56.5,False,False,False,False
14:15:56.6,False,False,False,False
14:15:56.7,False,False,False,False
14:15:56.8,False,False,False,False
14:15:56.9,False,False,False,False
14:15:57.0,False,False,False,False
14:15:57.1,False,False,False,False
14:15:57.2,False,False,False,False
14:15:57.3,False,False,False,False
14:15:57.4,False,False,False,False
14:15:57.5,False,False,False,False
14:15:57.6,False,False,False,False
14:15:57.7,False,False,False,False
14:15:57.8,False,False,False,False
14:15:57.9,False,False,False,False
14:15:58.0,False,False,False,False
14:15:58.1,False,False,False,False
14:15:58.2,False,False,False,False
14:15:58.3,False,False,False,False
14:15:58.4,False,False,False,False
14:15:58.5,False,False,False,False
14:15:58.6,False,False,False,False
14:15:58.7,False,False,False,False
14:15:58.8,False,False,False,False
14:15:58.9,False,False,False,False
14:15:59.0,False,False,False,False
14:15:59.1,False,False,False,False
14:15:59.2,False,False,False,False
14:15:59.3,False,False,False,False
14:15:59.4,False,False,False,False
14:15:59.5,False,False,False,False
14:15:59.6,False,False,False,False
14:15:59.7,False,False,False,False
14:15:59.8,False,False,False,False
14:15:59.9,False,False,False,False
14:16:00.0,False,False,False,False
14:16:00.1,False,False,False,False
14:16:00.2,False,False,False,False
14:16:00.3,False,False,False,False
14:16:00.4,False,False,False,False
14:16:00.5,False,False,False,False
14:16:00.6,False,False,False,False
14:16:00.7,False,False,False,False
14:16:00.8,False,False,False,False
14:16:00.9,False,False,False,False
14:16:01.0,False,False,False,False
14:16:01.1,False,False,False,False
14:16:01.2,False,False,False,False
14:16:01.3,False,False,False,False
14:16:01.4,False,False,False,False
14:16:01.5,False,False,False,False
14:16:01.6,False,False,False,False
14:16:01.7,False,False,False,False
14:16:01.8,False,False,False,False
14:16:01.9,False,False,False,False
14:16:02.0,False,False,False,False
14:16:02.1,False,False,False,False
14:16:02.2,False,False,False,False
14:16:02.3,False,False,False,False
14:16:02.4,False,False,False,False
14:16:02.5,False,False,False,False
14:16:02.6,False,False,False,False
14:16:02.7,False,False,False,False
14:16:02.8,False,False,False,False
14:16:03.0,False,False,False,False
14:16:03.1,False,False,False,False
14:16:03.2,False,False,False,False
14:16:03.3,False,False,False,False
14:16:03.4,False,False,False,False
14:16:03.5,False,False,False,False
14:16:03.6,False,False,False,False
14:16:03.7,False,False,False,False
14:16:03.8,False,False,False,False
14:16:03.9,False,False,False,False
14:16:04.0,False,False,False,False
14:16:04.1,False,False,False,False
14:16:04.2,False,False,False,False
14:16:04.3,False,False,False,False
14:16:04.4,False,False,False,False
14:16:04.5,False,False,False,False
14:16:04.6,False,False,False,False
14:16:04.7,False,False,False,False
14:16:04.8,False,False,False,False
14:16:04.9,False,False,False,False
14:16:05.0,False,False,False,False
14:16:05.1,False,False,False,False
14:16:05.2,False,False,False,False
14:16:05.3,False,False,False,False
14:16:05.4,False,False,False,False
14:16:05.5,False,False,False,False
14:16:05.6,False,False,False,False
14:16:05.7,False,False,False,False
14:16:05.8,False,False,False,False
14:16:05.9,False,False,False,False
14:16:06.0,False,False,False,False
14:16:06.1,False,False,False,False
14:16:06.2,False,False,False,False
14:16:06.3,False,False,False,False
14:16:06.4,False,False,False,False
14:16:06.5,False,False,False,False
14:16:06.6,False,False,False,False
14:16:06.7,False,False,False,False
