time,s0,s1,s2,s3,w01,w02,w03,w10,w12,w13,w20,w21,w23,w30,w31,w32
09:51:29.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:30.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:30.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:31.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:32.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:32.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:32.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:33.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:34.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:34.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:34.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:35.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:35.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:36.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:36.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:36.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:37.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:37.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:38.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:38.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:40.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:40.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:40.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:41.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:41.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:42.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:51:42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
